"id","home_team_points","away_team_points","year","week_number","away_team_id","home_team_id"
1,13,16,2002,1,"49ers","Giants"
2,31,23,2002,1,"Cardinals","Redskins"
3,27,23,2002,1,"Vikings","Bears"
4,39,40,2002,1,"Chiefs","Browns"
5,25,28,2002,1,"Colts","Jaguars"
6,49,21,2002,1,"Lions","Dolphins"
7,31,37,2002,1,"Jets","Bills"
8,37,34,2002,1,"Falcons","Packers"
9,27,24,2002,1,"Eagles","Titans"
10,10,7,2002,1,"Ravens","Panthers"
11,6,34,2002,1,"Chargers","Bengals"
12,23,16,2002,1,"Rams","Broncos"
13,20,26,2002,1,"Saints","Buccaneers"
14,31,17,2002,1,"Seahawks","Raiders"
15,19,10,2002,1,"Cowboys","Texans"
16,30,14,2002,1,"Steelers","Patriots"
17,13,21,2002,2,"Dolphins","Colts"
18,0,25,2002,2,"Buccaneers","Ravens"
19,20,7,2002,2,"Bengals","Browns"
20,21,13,2002,2,"Titans","Cowboys"
21,16,23,2002,2,"Jaguars","Chiefs"
22,13,14,2002,2,"Bears","Falcons"
23,35,20,2002,2,"Packers","Saints"
24,7,44,2002,2,"Patriots","Jets"
25,31,7,2002,2,"Lions","Panthers"
26,13,24,2002,2,"Cardinals","Seahawks"
27,21,26,2002,2,"Giants","Rams"
28,14,24,2002,2,"Broncos","49ers"
29,24,3,2002,2,"Texans","Chargers"
30,39,45,2002,2,"Bills","Vikings"
31,17,30,2002,2,"Raiders","Steelers"
32,7,37,2002,2,"Eagles","Redskins"
33,28,31,2002,3,"Browns","Titans"
34,30,3,2002,3,"Jets","Dolphins"
35,41,38,2002,3,"Chiefs","Patriots"
36,3,23,2002,3,"Colts","Texans"
37,14,21,2002,3,"Panthers","Vikings"
38,23,29,2002,3,"Saints","Bears"
39,44,13,2002,3,"Cowboys","Eagles"
40,15,23,2002,3,"Chargers","Cardinals"
41,28,23,2002,3,"Bills","Broncos"
42,9,6,2002,3,"Seahawks","Giants"
43,31,37,2002,3,"Packers","Lions"
44,20,10,2002,3,"Redskins","49ers"
45,30,3,2002,3,"Bengals","Falcons"
46,26,14,2002,3,"Rams","Buccaneers"
47,17,14,2002,4,"Panthers","Packers"
48,28,3,2002,4,"Jets","Jaguars"
49,33,27,2002,4,"Bears","Bills"
50,10,13,2002,4,"Cowboys","Rams"
51,26,21,2002,4,"Saints","Lions"
52,48,30,2002,4,"Dolphins","Chiefs"
53,35,17,2002,4,"Texans","Eagles"
54,16,13,2002,4,"Browns","Steelers"
55,7,35,2002,4,"Buccaneers","Bengals"
56,21,7,2002,4,"Giants","Cardinals"
57,21,14,2002,4,"Patriots","Chargers"
58,52,25,2002,4,"Titans","Raiders"
59,48,23,2002,4,"Vikings","Seahawks"
60,34,23,2002,4,"Broncos","Ravens"
61,13,16,2002,5,"Cardinals","Panthers"
62,14,31,2002,5,"Redskins","Titans"
63,28,21,2002,5,"Bengals","Colts"
64,17,21,2002,5,"Giants","Cowboys"
65,6,20,2002,5,"Buccaneers","Falcons"
66,32,29,2002,5,"Steelers","Saints"
67,31,49,2002,5,"Raiders","Bills"
68,26,13,2002,5,"Patriots","Dolphins"
69,26,9,2002,5,"Chargers","Broncos"
70,25,29,2002,5,"Chiefs","Jets"
71,28,25,2002,5,"Eagles","Jaguars"
72,37,13,2002,5,"Rams","49ers"
73,21,26,2002,5,"Ravens","Browns"
74,21,34,2002,5,"Packers","Bears"
75,10,17,2002,6,"Falcons","Giants"
76,27,43,2002,6,"Saints","Redskins"
77,22,20,2002,6,"Ravens","Colts"
78,7,34,2002,6,"Steelers","Bengals"
79,24,31,2002,6,"Bills","Texans"
80,17,3,2002,6,"Browns","Buccaneers"
81,14,13,2002,6,"Panthers","Cowboys"
82,10,28,2002,6,"Packers","Patriots"
83,31,24,2002,6,"Lions","Vikings"
84,28,13,2002,6,"Raiders","Rams"
85,23,14,2002,6,"Jaguars","Titans"
86,35,34,2002,6,"Chiefs","Chargers"
87,22,24,2002,6,"Dolphins","Broncos"
88,21,28,2002,6,"49ers","Seahawks"
89,10,23,2002,7,"Bills","Dolphins"
90,35,27,2002,7,"49ers","Saints"
91,30,0,2002,7,"Panthers","Falcons"
92,34,37,2002,7,"Broncos","Chiefs"
93,37,20,2002,7,"Seahawks","Rams"
94,20,7,2002,7,"Vikings","Jets"
95,17,10,2002,7,"Jaguars","Ravens"
